,source_image,source_mask,target_image,target_mask
69,/home/data/exports/multiomics/ihc/lps/segmented_images/003_LPS_F9_094304_202205.vsi - 40x_BF_03.tif,/home/data/exports/multiomics/ihc/lps/masks/003_LPS_F9_094304_202205.vsi - 40x_BF_03.tif,/home/data/exports/multiomics/ihc/lta/segmented_images/003_LTA_F10_095615_202205.vsi - 40x_BF_03.tif,/home/data/exports/multiomics/ihc/lta/masks/003_LTA_F10_095615_202205.vsi - 40x_BF_03.tif
70,/home/data/exports/multiomics/ihc/lta/segmented_images/003_LTA_F10_095615_202205.vsi - 40x_BF_03.tif,/home/data/exports/multiomics/ihc/lta/masks/003_LTA_F10_095615_202205.vsi - 40x_BF_03.tif,/home/data/exports/multiomics/hes_scans/segmented_images/003 HE R11_3.vsi - 20x_03.tif,/home/data/exports/multiomics/hes_scans/masks/003 HE R11_3.vsi - 20x_03.tif
71,/home/data/exports/multiomics/hes_scans/segmented_images/003 HE R11_3.vsi - 20x_03.tif,/home/data/exports/multiomics/hes_scans/masks/003 HE R11_3.vsi - 20x_03.tif,/home/data/exports/multiomics/hes_scans/segmented_images/003 HE R21_3.vsi - 20x_03.tif,/home/data/exports/multiomics/hes_scans/masks/003 HE R21_3.vsi - 20x_03.tif
72,/home/data/exports/multiomics/hes_scans/segmented_images/046 HE R1_1.vsi - 20x_03.tif,/home/data/exports/multiomics/hes_scans/masks/046 HE R1_1.vsi - 20x_03.tif,/home/data/exports/multiomics/spatial_transcriptomics/segmented_images/046_ST_V10A20_011_3_03.tif,/home/data/exports/multiomics/spatial_transcriptomics/masks/046_ST_V10A20_011_3_03.tif
73,/home/data/exports/multiomics/spatial_transcriptomics/segmented_images/046_ST_V10A20_011_3_03.tif,/home/data/exports/multiomics/spatial_transcriptomics/masks/046_ST_V10A20_011_3_03.tif,/home/data/exports/multiomics/hes_scans/peptides/segmented_images/046_MP_F3.vsi - 20x_BF_03.tif,/home/data/exports/multiomics/hes_scans/peptides/masks/046_MP_F3.vsi - 20x_BF_03.tif
74,/home/data/exports/multiomics/hes_scans/peptides/segmented_images/046_MP_F3.vsi - 20x_BF_03.tif,/home/data/exports/multiomics/hes_scans/peptides/masks/046_MP_F3.vsi - 20x_BF_03.tif,/home/data/exports/multiomics/hes_scans/segmented_images/046 M+ V6 HES.vsi - 20x_BF_03.tif,/home/data/exports/multiomics/hes_scans/masks/046 M+ V6 HES.vsi - 20x_BF_03.tif
75,/home/data/exports/multiomics/hes_scans/segmented_images/046 M+ V6 HES.vsi - 20x_BF_03.tif,/home/data/exports/multiomics/hes_scans/masks/046 M+ V6 HES.vsi - 20x_BF_03.tif,/home/data/exports/multiomics/hes_scans/segmented_images/046 M- V7 HES.vsi - 20x_BF_03.tif,/home/data/exports/multiomics/hes_scans/masks/046 M- V7 HES.vsi - 20x_BF_03.tif
76,/home/data/exports/multiomics/hes_scans/segmented_images/046 M- V7 HES.vsi - 20x_BF_03.tif,/home/data/exports/multiomics/hes_scans/masks/046 M- V7 HES.vsi - 20x_BF_03.tif,/home/data/exports/multiomics/mts/segmented_images/046 MM V8_01.vsi - 20x_BF_03.tif,/home/data/exports/multiomics/mts/masks/046 MM V8_01.vsi - 20x_BF_03.tif
77,/home/data/exports/multiomics/mts/segmented_images/046 MM V8_01.vsi - 20x_BF_03.tif,/home/data/exports/multiomics/mts/masks/046 MM V8_01.vsi - 20x_BF_03.tif,/home/data/exports/multiomics/ihc/lps/segmented_images/046_LPS_F9_094744_202205.vsi - 40x_BF_03.tif,/home/data/exports/multiomics/ihc/lps/masks/046_LPS_F9_094744_202205.vsi - 40x_BF_03.tif
78,/home/data/exports/multiomics/ihc/lps/segmented_images/046_LPS_F9_094744_202205.vsi - 40x_BF_03.tif,/home/data/exports/multiomics/ihc/lps/masks/046_LPS_F9_094744_202205.vsi - 40x_BF_03.tif,/home/data/exports/multiomics/ihc/lta/segmented_images/046_LTA_F10_100202_202205.vsi - 40x_BF_03.tif,/home/data/exports/multiomics/ihc/lta/masks/046_LTA_F10_100202_202205.vsi - 40x_BF_03.tif
79,/home/data/exports/multiomics/ihc/lta/segmented_images/046_LTA_F10_100202_202205.vsi - 40x_BF_03.tif,/home/data/exports/multiomics/ihc/lta/masks/046_LTA_F10_100202_202205.vsi - 40x_BF_03.tif,/home/data/exports/multiomics/hes_scans/segmented_images/046 HE R11_1.vsi - 20x_03.tif,/home/data/exports/multiomics/hes_scans/masks/046 HE R11_1.vsi - 20x_03.tif
80,/home/data/exports/multiomics/hes_scans/segmented_images/046 HE R11_1.vsi - 20x_03.tif,/home/data/exports/multiomics/hes_scans/masks/046 HE R11_1.vsi - 20x_03.tif,/home/data/exports/multiomics/hes_scans/segmented_images/046 HE R21_1.vsi - 20x_03.tif,/home/data/exports/multiomics/hes_scans/masks/046 HE R21_1.vsi - 20x_03.tif
81,/home/data/exports/multiomics/hes_scans/segmented_images/047 HE R1_1.vsi - 20x_02.tif,/home/data/exports/multiomics/hes_scans/masks/047 HE R1_1.vsi - 20x_02.tif,/home/data/exports/multiomics/spatial_transcriptomics/segmented_images/047_ST_V10A20_007_2_02.tif,/home/data/exports/multiomics/spatial_transcriptomics/masks/047_ST_V10A20_007_2_02.tif
82,/home/data/exports/multiomics/spatial_transcriptomics/segmented_images/047_ST_V10A20_007_2_02.tif,/home/data/exports/multiomics/spatial_transcriptomics/masks/047_ST_V10A20_007_2_02.tif,/home/data/exports/multiomics/hes_scans/peptides/segmented_images/047_MP_F3.vsi - 20x_BF_02.tif,/home/data/exports/multiomics/hes_scans/peptides/masks/047_MP_F3.vsi - 20x_BF_02.tif
83,/home/data/exports/multiomics/hes_scans/peptides/segmented_images/047_MP_F3.vsi - 20x_BF_02.tif,/home/data/exports/multiomics/hes_scans/peptides/masks/047_MP_F3.vsi - 20x_BF_02.tif,/home/data/exports/multiomics/hes_scans/segmented_images/047 M+ V6 HES.vsi - 20x_BF_02.tif,/home/data/exports/multiomics/hes_scans/masks/047 M+ V6 HES.vsi - 20x_BF_02.tif
84,/home/data/exports/multiomics/hes_scans/segmented_images/047 M+ V6 HES.vsi - 20x_BF_02.tif,/home/data/exports/multiomics/hes_scans/masks/047 M+ V6 HES.vsi - 20x_BF_02.tif,/home/data/exports/multiomics/hes_scans/segmented_images/047 M- V7 HES.vsi - 20x_BF_02.tif,/home/data/exports/multiomics/hes_scans/masks/047 M- V7 HES.vsi - 20x_BF_02.tif
85,/home/data/exports/multiomics/hes_scans/segmented_images/047 M- V7 HES.vsi - 20x_BF_02.tif,/home/data/exports/multiomics/hes_scans/masks/047 M- V7 HES.vsi - 20x_BF_02.tif,/home/data/exports/multiomics/mts/segmented_images/047 MM V8.vsi - 20x_BF_02.tif,/home/data/exports/multiomics/mts/masks/047 MM V8.vsi - 20x_BF_02.tif
86,/home/data/exports/multiomics/mts/segmented_images/047 MM V8.vsi - 20x_BF_02.tif,/home/data/exports/multiomics/mts/masks/047 MM V8.vsi - 20x_BF_02.tif,/home/data/exports/multiomics/ihc/lps/segmented_images/047_LPS_F9_095009_202205.vsi - 40x_BF_02.tif,/home/data/exports/multiomics/ihc/lps/masks/047_LPS_F9_095009_202205.vsi - 40x_BF_02.tif
87,/home/data/exports/multiomics/ihc/lps/segmented_images/047_LPS_F9_095009_202205.vsi - 40x_BF_02.tif,/home/data/exports/multiomics/ihc/lps/masks/047_LPS_F9_095009_202205.vsi - 40x_BF_02.tif,/home/data/exports/multiomics/ihc/lta/segmented_images/047_LTA_F10_100334_202205.vsi - 40x_BF_02.tif,/home/data/exports/multiomics/ihc/lta/masks/047_LTA_F10_100334_202205.vsi - 40x_BF_02.tif
88,/home/data/exports/multiomics/ihc/lta/segmented_images/047_LTA_F10_100334_202205.vsi - 40x_BF_02.tif,/home/data/exports/multiomics/ihc/lta/masks/047_LTA_F10_100334_202205.vsi - 40x_BF_02.tif,/home/data/exports/multiomics/hes_scans/segmented_images/047 HE R11_1.vsi - 20x_02.tif,/home/data/exports/multiomics/hes_scans/masks/047 HE R11_1.vsi - 20x_02.tif
89,/home/data/exports/multiomics/hes_scans/segmented_images/047 HE R11_1.vsi - 20x_02.tif,/home/data/exports/multiomics/hes_scans/masks/047 HE R11_1.vsi - 20x_02.tif,/home/data/exports/multiomics/hes_scans/segmented_images/047 HE R21_1.vsi - 20x_02.tif,/home/data/exports/multiomics/hes_scans/masks/047 HE R21_1.vsi - 20x_02.tif
90,/home/data/exports/multiomics/hes_scans/segmented_images/003 HE R1_4.vsi - 20x_04.tif,/home/data/exports/multiomics/hes_scans/masks/003 HE R1_4.vsi - 20x_04.tif,/home/data/exports/multiomics/spatial_transcriptomics/segmented_images/003_ST_V19S23_107_4_04.tif,/home/data/exports/multiomics/spatial_transcriptomics/masks/003_ST_V19S23_107_4_04.tif
91,/home/data/exports/multiomics/spatial_transcriptomics/segmented_images/003_ST_V19S23_107_4_04.tif,/home/data/exports/multiomics/spatial_transcriptomics/masks/003_ST_V19S23_107_4_04.tif,/home/data/exports/multiomics/hes_scans/peptides/segmented_images/003_MP_F3.vsi - 20x_BF_04.tif,/home/data/exports/multiomics/hes_scans/peptides/masks/003_MP_F3.vsi - 20x_BF_04.tif
92,/home/data/exports/multiomics/hes_scans/peptides/segmented_images/003_MP_F3.vsi - 20x_BF_04.tif,/home/data/exports/multiomics/hes_scans/peptides/masks/003_MP_F3.vsi - 20x_BF_04.tif,/home/data/exports/multiomics/hes_scans/segmented_images/003 M+ V6 HES.vsi - 20x_BF_04.tif,/home/data/exports/multiomics/hes_scans/masks/003 M+ V6 HES.vsi - 20x_BF_04.tif
93,/home/data/exports/multiomics/hes_scans/segmented_images/003 M+ V6 HES.vsi - 20x_BF_04.tif,/home/data/exports/multiomics/hes_scans/masks/003 M+ V6 HES.vsi - 20x_BF_04.tif,/home/data/exports/multiomics/hes_scans/segmented_images/003 M- V7 HES.vsi - 20x_BF_04.tif,/home/data/exports/multiomics/hes_scans/masks/003 M- V7 HES.vsi - 20x_BF_04.tif
94,/home/data/exports/multiomics/hes_scans/segmented_images/003 M- V7 HES.vsi - 20x_BF_04.tif,/home/data/exports/multiomics/hes_scans/masks/003 M- V7 HES.vsi - 20x_BF_04.tif,/home/data/exports/multiomics/mts/segmented_images/003 MM V8_01.vsi - 20x_BF_04.tif,/home/data/exports/multiomics/mts/masks/003 MM V8_01.vsi - 20x_BF_04.tif
95,/home/data/exports/multiomics/mts/segmented_images/003 MM V8_01.vsi - 20x_BF_04.tif,/home/data/exports/multiomics/mts/masks/003 MM V8_01.vsi - 20x_BF_04.tif,/home/data/exports/multiomics/ihc/lps/segmented_images/003_LPS_F9_094304_202205.vsi - 40x_BF_04.tif,/home/data/exports/multiomics/ihc/lps/masks/003_LPS_F9_094304_202205.vsi - 40x_BF_04.tif
96,/home/data/exports/multiomics/ihc/lps/segmented_images/003_LPS_F9_094304_202205.vsi - 40x_BF_04.tif,/home/data/exports/multiomics/ihc/lps/masks/003_LPS_F9_094304_202205.vsi - 40x_BF_04.tif,/home/data/exports/multiomics/ihc/lta/segmented_images/003_LTA_F10_095615_202205.vsi - 40x_BF_04.tif,/home/data/exports/multiomics/ihc/lta/masks/003_LTA_F10_095615_202205.vsi - 40x_BF_04.tif
97,/home/data/exports/multiomics/ihc/lta/segmented_images/003_LTA_F10_095615_202205.vsi - 40x_BF_04.tif,/home/data/exports/multiomics/ihc/lta/masks/003_LTA_F10_095615_202205.vsi - 40x_BF_04.tif,/home/data/exports/multiomics/hes_scans/segmented_images/003 HE R11_4.vsi - 20x_04.tif,/home/data/exports/multiomics/hes_scans/masks/003 HE R11_4.vsi - 20x_04.tif
98,/home/data/exports/multiomics/hes_scans/segmented_images/003 HE R11_4.vsi - 20x_04.tif,/home/data/exports/multiomics/hes_scans/masks/003 HE R11_4.vsi - 20x_04.tif,/home/data/exports/multiomics/hes_scans/segmented_images/003 HE R21_4.vsi - 20x_04.tif,/home/data/exports/multiomics/hes_scans/masks/003 HE R21_4.vsi - 20x_04.tif
99,/home/data/exports/multiomics/hes_scans/segmented_images/046 HE R1_1.vsi - 20x_04.tif,/home/data/exports/multiomics/hes_scans/masks/046 HE R1_1.vsi - 20x_04.tif,/home/data/exports/multiomics/spatial_transcriptomics/segmented_images/046_ST_V10A20_011_4_04.tif,/home/data/exports/multiomics/spatial_transcriptomics/masks/046_ST_V10A20_011_4_04.tif
100,/home/data/exports/multiomics/spatial_transcriptomics/segmented_images/046_ST_V10A20_011_4_04.tif,/home/data/exports/multiomics/spatial_transcriptomics/masks/046_ST_V10A20_011_4_04.tif,/home/data/exports/multiomics/hes_scans/peptides/segmented_images/046_MP_F3.vsi - old_05 - 20x_BF_04.tif,/home/data/exports/multiomics/hes_scans/peptides/masks/046_MP_F3.vsi - old_05 - 20x_BF_04.tif
101,/home/data/exports/multiomics/hes_scans/peptides/segmented_images/046_MP_F3.vsi - old_05 - 20x_BF_04.tif,/home/data/exports/multiomics/hes_scans/peptides/masks/046_MP_F3.vsi - old_05 - 20x_BF_04.tif,/home/data/exports/multiomics/hes_scans/segmented_images/046 M+ V6 HES.vsi - 20x_BF_04.tif,/home/data/exports/multiomics/hes_scans/masks/046 M+ V6 HES.vsi - 20x_BF_04.tif
102,/home/data/exports/multiomics/hes_scans/segmented_images/046 M+ V6 HES.vsi - 20x_BF_04.tif,/home/data/exports/multiomics/hes_scans/masks/046 M+ V6 HES.vsi - 20x_BF_04.tif,/home/data/exports/multiomics/hes_scans/segmented_images/046 M- V7 HES.vsi - 20x_BF_04.tif,/home/data/exports/multiomics/hes_scans/masks/046 M- V7 HES.vsi - 20x_BF_04.tif
103,/home/data/exports/multiomics/hes_scans/segmented_images/046 M- V7 HES.vsi - 20x_BF_04.tif,/home/data/exports/multiomics/hes_scans/masks/046 M- V7 HES.vsi - 20x_BF_04.tif,/home/data/exports/multiomics/mts/segmented_images/046 MM V8_01.vsi - 20x_BF_04.tif,/home/data/exports/multiomics/mts/masks/046 MM V8_01.vsi - 20x_BF_04.tif
104,/home/data/exports/multiomics/mts/segmented_images/046 MM V8_01.vsi - 20x_BF_04.tif,/home/data/exports/multiomics/mts/masks/046 MM V8_01.vsi - 20x_BF_04.tif,/home/data/exports/multiomics/ihc/lps/segmented_images/046_LPS_F9_094744_202205.vsi - 40x_BF_04.tif,/home/data/exports/multiomics/ihc/lps/masks/046_LPS_F9_094744_202205.vsi - 40x_BF_04.tif
105,/home/data/exports/multiomics/ihc/lps/segmented_images/046_LPS_F9_094744_202205.vsi - 40x_BF_04.tif,/home/data/exports/multiomics/ihc/lps/masks/046_LPS_F9_094744_202205.vsi - 40x_BF_04.tif,/home/data/exports/multiomics/ihc/lta/segmented_images/046_LTA_F10_100202_202205.vsi - 40x_BF_04.tif,/home/data/exports/multiomics/ihc/lta/masks/046_LTA_F10_100202_202205.vsi - 40x_BF_04.tif
106,/home/data/exports/multiomics/ihc/lta/segmented_images/046_LTA_F10_100202_202205.vsi - 40x_BF_04.tif,/home/data/exports/multiomics/ihc/lta/masks/046_LTA_F10_100202_202205.vsi - 40x_BF_04.tif,/home/data/exports/multiomics/hes_scans/segmented_images/046 HE R11_1.vsi - 20x_04.tif,/home/data/exports/multiomics/hes_scans/masks/046 HE R11_1.vsi - 20x_04.tif
107,/home/data/exports/multiomics/hes_scans/segmented_images/046 HE R11_1.vsi - 20x_04.tif,/home/data/exports/multiomics/hes_scans/masks/046 HE R11_1.vsi - 20x_04.tif,/home/data/exports/multiomics/hes_scans/segmented_images/046 HE R21_1.vsi - 20x_04.tif,/home/data/exports/multiomics/hes_scans/masks/046 HE R21_1.vsi - 20x_04.tif
108,/home/data/exports/multiomics/hes_scans/segmented_images/004 HE R1_1.vsi - 20x_01.tif,/home/data/exports/multiomics/hes_scans/masks/004 HE R1_1.vsi - 20x_01.tif,/home/data/exports/multiomics/spatial_transcriptomics/segmented_images/004_ST_V19S23_108_1_01.tif,/home/data/exports/multiomics/spatial_transcriptomics/masks/004_ST_V19S23_108_1_01.tif
109,/home/data/exports/multiomics/spatial_transcriptomics/segmented_images/004_ST_V19S23_108_1_01.tif,/home/data/exports/multiomics/spatial_transcriptomics/masks/004_ST_V19S23_108_1_01.tif,/home/data/exports/multiomics/hes_scans/peptides/segmented_images/004_MP_F3.vsi - 20x_BF_01.tif,/home/data/exports/multiomics/hes_scans/peptides/masks/004_MP_F3.vsi - 20x_BF_01.tif
110,/home/data/exports/multiomics/hes_scans/peptides/segmented_images/004_MP_F3.vsi - 20x_BF_01.tif,/home/data/exports/multiomics/hes_scans/peptides/masks/004_MP_F3.vsi - 20x_BF_01.tif,/home/data/exports/multiomics/hes_scans/segmented_images/004 M+ V6 HES.vsi - 20x_BF_01.tif,/home/data/exports/multiomics/hes_scans/masks/004 M+ V6 HES.vsi - 20x_BF_01.tif
111,/home/data/exports/multiomics/hes_scans/segmented_images/004 M+ V6 HES.vsi - 20x_BF_01.tif,/home/data/exports/multiomics/hes_scans/masks/004 M+ V6 HES.vsi - 20x_BF_01.tif,/home/data/exports/multiomics/hes_scans/segmented_images/004 M- V7 HES.vsi - 20x_BF_01.tif,/home/data/exports/multiomics/hes_scans/masks/004 M- V7 HES.vsi - 20x_BF_01.tif
112,/home/data/exports/multiomics/hes_scans/segmented_images/004 M- V7 HES.vsi - 20x_BF_01.tif,/home/data/exports/multiomics/hes_scans/masks/004 M- V7 HES.vsi - 20x_BF_01.tif,/home/data/exports/multiomics/mts/segmented_images/004 MM V8_01.vsi - 20x_BF_01.tif,/home/data/exports/multiomics/mts/masks/004 MM V8_01.vsi - 20x_BF_01.tif
113,/home/data/exports/multiomics/mts/segmented_images/004 MM V8_01.vsi - 20x_BF_01.tif,/home/data/exports/multiomics/mts/masks/004 MM V8_01.vsi - 20x_BF_01.tif,/home/data/exports/multiomics/ihc/lps/segmented_images/004_LPS_F9_094427_202205.vsi - 40x_BF_01.tif,/home/data/exports/multiomics/ihc/lps/masks/004_LPS_F9_094427_202205.vsi - 40x_BF_01.tif
114,/home/data/exports/multiomics/ihc/lps/segmented_images/004_LPS_F9_094427_202205.vsi - 40x_BF_01.tif,/home/data/exports/multiomics/ihc/lps/masks/004_LPS_F9_094427_202205.vsi - 40x_BF_01.tif,/home/data/exports/multiomics/ihc/lta/segmented_images/004_LTA_F10_095800_202205.vsi - 40x_BF_01.tif,/home/data/exports/multiomics/ihc/lta/masks/004_LTA_F10_095800_202205.vsi - 40x_BF_01.tif
115,/home/data/exports/multiomics/ihc/lta/segmented_images/004_LTA_F10_095800_202205.vsi - 40x_BF_01.tif,/home/data/exports/multiomics/ihc/lta/masks/004_LTA_F10_095800_202205.vsi - 40x_BF_01.tif,/home/data/exports/multiomics/hes_scans/segmented_images/004 HE R11_1.vsi - 20x_01.tif,/home/data/exports/multiomics/hes_scans/masks/004 HE R11_1.vsi - 20x_01.tif
116,/home/data/exports/multiomics/hes_scans/segmented_images/004 HE R11_1.vsi - 20x_01.tif,/home/data/exports/multiomics/hes_scans/masks/004 HE R11_1.vsi - 20x_01.tif,/home/data/exports/multiomics/hes_scans/segmented_images/004 HE R21_1.vsi - 20x_01.tif,/home/data/exports/multiomics/hes_scans/masks/004 HE R21_1.vsi - 20x_01.tif
117,/home/data/exports/multiomics/hes_scans/segmented_images/004 HE R1_2.vsi - 20x_02.tif,/home/data/exports/multiomics/hes_scans/masks/004 HE R1_2.vsi - 20x_02.tif,/home/data/exports/multiomics/spatial_transcriptomics/segmented_images/004_ST_V19S23_108_2_02.tif,/home/data/exports/multiomics/spatial_transcriptomics/masks/004_ST_V19S23_108_2_02.tif
118,/home/data/exports/multiomics/spatial_transcriptomics/segmented_images/004_ST_V19S23_108_2_02.tif,/home/data/exports/multiomics/spatial_transcriptomics/masks/004_ST_V19S23_108_2_02.tif,/home/data/exports/multiomics/hes_scans/peptides/segmented_images/004_MP_F3.vsi - 20x_BF_02.tif,/home/data/exports/multiomics/hes_scans/peptides/masks/004_MP_F3.vsi - 20x_BF_02.tif
119,/home/data/exports/multiomics/hes_scans/peptides/segmented_images/004_MP_F3.vsi - 20x_BF_02.tif,/home/data/exports/multiomics/hes_scans/peptides/masks/004_MP_F3.vsi - 20x_BF_02.tif,/home/data/exports/multiomics/hes_scans/segmented_images/004 M+ V6 HES.vsi - 20x_BF_02.tif,/home/data/exports/multiomics/hes_scans/masks/004 M+ V6 HES.vsi - 20x_BF_02.tif
120,/home/data/exports/multiomics/hes_scans/segmented_images/004 M+ V6 HES.vsi - 20x_BF_02.tif,/home/data/exports/multiomics/hes_scans/masks/004 M+ V6 HES.vsi - 20x_BF_02.tif,/home/data/exports/multiomics/hes_scans/segmented_images/004 M- V7 HES.vsi - 20x_BF_02.tif,/home/data/exports/multiomics/hes_scans/masks/004 M- V7 HES.vsi - 20x_BF_02.tif
121,/home/data/exports/multiomics/hes_scans/segmented_images/004 M- V7 HES.vsi - 20x_BF_02.tif,/home/data/exports/multiomics/hes_scans/masks/004 M- V7 HES.vsi - 20x_BF_02.tif,/home/data/exports/multiomics/mts/segmented_images/004 MM V8_01.vsi - 20x_BF_02.tif,/home/data/exports/multiomics/mts/masks/004 MM V8_01.vsi - 20x_BF_02.tif
122,/home/data/exports/multiomics/mts/segmented_images/004 MM V8_01.vsi - 20x_BF_02.tif,/home/data/exports/multiomics/mts/masks/004 MM V8_01.vsi - 20x_BF_02.tif,/home/data/exports/multiomics/ihc/lps/segmented_images/004_LPS_F9_094427_202205.vsi - 40x_BF_02.tif,/home/data/exports/multiomics/ihc/lps/masks/004_LPS_F9_094427_202205.vsi - 40x_BF_02.tif
123,/home/data/exports/multiomics/ihc/lps/segmented_images/004_LPS_F9_094427_202205.vsi - 40x_BF_02.tif,/home/data/exports/multiomics/ihc/lps/masks/004_LPS_F9_094427_202205.vsi - 40x_BF_02.tif,/home/data/exports/multiomics/ihc/lta/segmented_images/004_LTA_F10_095800_202205.vsi - 40x_BF_02.tif,/home/data/exports/multiomics/ihc/lta/masks/004_LTA_F10_095800_202205.vsi - 40x_BF_02.tif
124,/home/data/exports/multiomics/ihc/lta/segmented_images/004_LTA_F10_095800_202205.vsi - 40x_BF_02.tif,/home/data/exports/multiomics/ihc/lta/masks/004_LTA_F10_095800_202205.vsi - 40x_BF_02.tif,/home/data/exports/multiomics/hes_scans/segmented_images/004 HE R11_2.vsi - 20x_02.tif,/home/data/exports/multiomics/hes_scans/masks/004 HE R11_2.vsi - 20x_02.tif
125,/home/data/exports/multiomics/hes_scans/segmented_images/004 HE R11_2.vsi - 20x_02.tif,/home/data/exports/multiomics/hes_scans/masks/004 HE R11_2.vsi - 20x_02.tif,/home/data/exports/multiomics/hes_scans/segmented_images/004 HE R21_2.vsi - 20x_02.tif,/home/data/exports/multiomics/hes_scans/masks/004 HE R21_2.vsi - 20x_02.tif
126,/home/data/exports/multiomics/hes_scans/segmented_images/004 HE R1_3.vsi - 20x_03.tif,/home/data/exports/multiomics/hes_scans/masks/004 HE R1_3.vsi - 20x_03.tif,/home/data/exports/multiomics/spatial_transcriptomics/segmented_images/004_ST_V19S23_108_3_03.tif,/home/data/exports/multiomics/spatial_transcriptomics/masks/004_ST_V19S23_108_3_03.tif
127,/home/data/exports/multiomics/spatial_transcriptomics/segmented_images/004_ST_V19S23_108_3_03.tif,/home/data/exports/multiomics/spatial_transcriptomics/masks/004_ST_V19S23_108_3_03.tif,/home/data/exports/multiomics/hes_scans/peptides/segmented_images/004_MP_F3.vsi - 20x_BF_03.tif,/home/data/exports/multiomics/hes_scans/peptides/masks/004_MP_F3.vsi - 20x_BF_03.tif
128,/home/data/exports/multiomics/hes_scans/peptides/segmented_images/004_MP_F3.vsi - 20x_BF_03.tif,/home/data/exports/multiomics/hes_scans/peptides/masks/004_MP_F3.vsi - 20x_BF_03.tif,/home/data/exports/multiomics/hes_scans/segmented_images/004 M+ V6 HES.vsi - 20x_BF_03.tif,/home/data/exports/multiomics/hes_scans/masks/004 M+ V6 HES.vsi - 20x_BF_03.tif
129,/home/data/exports/multiomics/hes_scans/segmented_images/004 M+ V6 HES.vsi - 20x_BF_03.tif,/home/data/exports/multiomics/hes_scans/masks/004 M+ V6 HES.vsi - 20x_BF_03.tif,/home/data/exports/multiomics/hes_scans/segmented_images/004 M- V7 HES.vsi - 20x_BF_03.tif,/home/data/exports/multiomics/hes_scans/masks/004 M- V7 HES.vsi - 20x_BF_03.tif
130,/home/data/exports/multiomics/hes_scans/segmented_images/004 M- V7 HES.vsi - 20x_BF_03.tif,/home/data/exports/multiomics/hes_scans/masks/004 M- V7 HES.vsi - 20x_BF_03.tif,/home/data/exports/multiomics/mts/segmented_images/004 MM V8_01.vsi - 20x_BF_03.tif,/home/data/exports/multiomics/mts/masks/004 MM V8_01.vsi - 20x_BF_03.tif
131,/home/data/exports/multiomics/mts/segmented_images/004 MM V8_01.vsi - 20x_BF_03.tif,/home/data/exports/multiomics/mts/masks/004 MM V8_01.vsi - 20x_BF_03.tif,/home/data/exports/multiomics/ihc/lps/segmented_images/004_LPS_F9_094427_202205.vsi - 40x_BF_03.tif,/home/data/exports/multiomics/ihc/lps/masks/004_LPS_F9_094427_202205.vsi - 40x_BF_03.tif
132,/home/data/exports/multiomics/ihc/lps/segmented_images/004_LPS_F9_094427_202205.vsi - 40x_BF_03.tif,/home/data/exports/multiomics/ihc/lps/masks/004_LPS_F9_094427_202205.vsi - 40x_BF_03.tif,/home/data/exports/multiomics/ihc/lta/segmented_images/004_LTA_F10_095800_202205.vsi - old_04 40x_BF_03.tif,/home/data/exports/multiomics/ihc/lta/masks/004_LTA_F10_095800_202205.vsi - old_04 40x_BF_03.tif
133,/home/data/exports/multiomics/ihc/lta/segmented_images/004_LTA_F10_095800_202205.vsi - old_04 40x_BF_03.tif,/home/data/exports/multiomics/ihc/lta/masks/004_LTA_F10_095800_202205.vsi - old_04 40x_BF_03.tif,/home/data/exports/multiomics/hes_scans/segmented_images/004 HE R11_3.vsi - 20x_03.tif,/home/data/exports/multiomics/hes_scans/masks/004 HE R11_3.vsi - 20x_03.tif
134,/home/data/exports/multiomics/hes_scans/segmented_images/004 HE R11_3.vsi - 20x_03.tif,/home/data/exports/multiomics/hes_scans/masks/004 HE R11_3.vsi - 20x_03.tif,/home/data/exports/multiomics/hes_scans/segmented_images/004 HE R21_3.vsi - 20x_03.tif,/home/data/exports/multiomics/hes_scans/masks/004 HE R21_3.vsi - 20x_03.tif
135,/home/data/exports/multiomics/hes_scans/segmented_images/003 HE R1_1.vsi - 20x_01.tif,/home/data/exports/multiomics/hes_scans/masks/003 HE R1_1.vsi - 20x_01.tif,/home/data/exports/multiomics/spatial_transcriptomics/segmented_images/003_ST_V19S23_107_1_01.tif,/home/data/exports/multiomics/spatial_transcriptomics/masks/003_ST_V19S23_107_1_01.tif
136,/home/data/exports/multiomics/spatial_transcriptomics/segmented_images/003_ST_V19S23_107_1_01.tif,/home/data/exports/multiomics/spatial_transcriptomics/masks/003_ST_V19S23_107_1_01.tif,/home/data/exports/multiomics/hes_scans/peptides/segmented_images/003_MP_F3.vsi - 20x_BF_01.tif,/home/data/exports/multiomics/hes_scans/peptides/masks/003_MP_F3.vsi - 20x_BF_01.tif
137,/home/data/exports/multiomics/hes_scans/peptides/segmented_images/003_MP_F3.vsi - 20x_BF_01.tif,/home/data/exports/multiomics/hes_scans/peptides/masks/003_MP_F3.vsi - 20x_BF_01.tif,/home/data/exports/multiomics/hes_scans/segmented_images/003 M+ V6 HES.vsi - 20x_BF_01.tif,/home/data/exports/multiomics/hes_scans/masks/003 M+ V6 HES.vsi - 20x_BF_01.tif
